Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
20-35,Female,More than 2 years,User_272,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Country,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3
20-35,Female,6 months to 1 year,User_273,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,R&B,Morning,Uplifting and motivational,Workout session,Playlists,1
12-20,Female,6 months to 1 year,User_274,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Jazz,Afternoon,Sadness or melancholy,While Traveling,Radio,3
20-35,Female,6 months to 1 year,User_275,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Folk,Afternoon,Sadness or melancholy,While Traveling,Radio,3
12-20,Female,1 year to 2 years,User_276,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Indie,Afternoon,Sadness or melancholy,Study Hours,Radio,3
20-35,Female,6 months to 1 year,User_277,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Rock,Afternoon,Sadness or melancholy,While Traveling,Playlists,2
20-35,Female,6 months to 1 year,User_278,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Reggae,Morning,Uplifting and motivational,While Traveling,Radio,3
12-20,Female,6 months to 1 year,User_279,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Electronic,Morning,Uplifting and motivational,Study Hours,Radio,3
12-20,Female,1 year to 2 years,User_280,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,5
12-20,Female,6 months to 1 year,User_281,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Morning,Sadness or melancholy,Workout session,Playlists,4
20-35,Female,1 year to 2 years,User_282,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Country,Afternoon,Sadness or melancholy,Workout session,Radio,2
20-35,Female,1 year to 2 years,User_283,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,,R&B,Afternoon,Sadness or melancholy,"Study Hours, While Traveling, leisure time","Playlists, Others",2
20-35,Female,6 months to 1 year,User_284,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Jazz,Morning,Uplifting and motivational,"While Traveling, Workout session, leisure time","Playlists, Radio, Others",2
20-35,Female,1 year to 2 years,User_285,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Folk,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3
20-35,Others,1 year to 2 years,User_286,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Indie,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","Playlists, Radio, Others",3
20-35,Female,6 months to 1 year,User_287,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Duo plan- Rs 149/month,,Rock,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Playlists, Others",2
20-35,Female,1 year to 2 years,User_288,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,,Reggae,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Others",3
20-35,Female,1 year to 2 years,User_289,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,,Electronic,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3
20-35,Female,6 months to 1 year,User_290,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Pop,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Playlists, Radio",3
12-20,Female,6 months to 1 year,User_291,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Hip-hop,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Radio, Others",2
12-20,Female,6 months to 1 year,User_292,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Country,Afternoon,Social gatherings or parties,"Study Hours, While Traveling",Radio,3
20-35,Female,6 months to 1 year,User_293,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,,R&B,Afternoon,Sadness or melancholy,While Traveling,"Playlists, Radio",3
35-60,Female,1 year to 2 years,User_294,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,,Jazz,Morning,Uplifting and motivational,While Traveling,Radio,3
35-60,Female,Less than 6 months,User_295,"Smartphone, Computer or laptop",Premium (paid subscription),No,Duo plan- Rs 149/month,,Folk,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",2
35-60,Female,6 months to 1 year,User_296,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,,Indie,Afternoon,Uplifting and motivational,While Traveling,Playlists,2
20-35,Female,1 year to 2 years,User_297,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Rock,Afternoon,Sadness or melancholy,Workout session,Playlists,2
12-20,Female,6 months to 1 year,User_298,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,,Reggae,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session",Playlists,3
20-35,Female,6 months to 1 year,User_299,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,,Electronic,Night,Sadness or melancholy,Workout session,Radio,3
12-20,Female,1 year to 2 years,User_300,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Pop,Afternoon,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",Radio,3
20-35,Female,6 months to 1 year,User_301,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Hip-hop,Night,Relaxation and stress relief,While Traveling,Others,4
35-60,Female,1 year to 2 years,User_302,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Country,Afternoon,Uplifting and motivational,While Traveling,Others,3
20-35,Female,6 months to 1 year,User_303,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,R&B,Afternoon,"Uplifting and motivational, Sadness or melancholy",Study Hours,Playlists,3
20-35,Male,1 year to 2 years,User_304,Smartphone,Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations,Others, Social media",3
20-35,Female,6 months to 1 year,User_305,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Folk,Morning,Uplifting and motivational,While Traveling,Radio,2
20-35,Female,1 year to 2 years,User_306,Smart speakers or voice assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,,Indie,Night,Sadness or melancholy,While Traveling,Others,3
20-35,Female,6 months to 1 year,User_307,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Rock,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Radio, Others",3
20-35,Female,1 year to 2 years,User_308,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Reggae,Afternoon,"Relaxation and stress relief, Uplifting and motivational",Office hours,recommendations,2
20-35,Female,1 year to 2 years,User_309,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,,Electronic,Afternoon,Uplifting and motivational,Workout session,Radio,2
20-35,Female,1 year to 2 years,User_310,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Pop,Afternoon,Sadness or melancholy,"Office hours, While Traveling, Workout session","recommendations, Radio, Others",2
20-35,Female,6 months to 1 year,User_311,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",4
20-35,Female,6 months to 1 year,User_312,"Computer or laptop, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,,Country,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session","recommendations, Playlists, Radio",3
12-20,Female,6 months to 1 year,User_313,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,,R&B,Afternoon,"Uplifting and motivational, Sadness or melancholy",Workout session,Radio,2
20-35,Female,6 months to 1 year,User_314,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Jazz,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Others",3
