Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
12-20,Male,More than 2 years,User_372,"Smartphone, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Morning,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Male,1 year to 2 years,User_373,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,R&B,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",3
20-35,Female,6 months to 1 year,User_374,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,,Jazz,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,Less than 6 months,User_375,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Radio",4
20-35,Female,More than 2 years,User_376,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Indie,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","Playlists, Others",3
20-35,Female,1 year to 2 years,User_377,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Rock,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,3
20-35,Female,Less than 6 months,User_378,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Reggae,Night,Uplifting and motivational,leisure time,Others,4
20-35,Female,1 year to 2 years,User_379,Smartphone,Free (ad-supported),No,None,,Electronic,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,More than 2 years,User_380,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5
20-35,Female,1 year to 2 years,User_381,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Hip-hop,Night,Relaxation and stress relief,While Traveling,recommendations,5
20-35,Male,More than 2 years,User_382,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Country,Night,Relaxation and stress relief,leisure time,recommendations,3
20-35,Female,More than 2 years,User_383,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ",Playlists,3
20-35,Female,1 year to 2 years,User_384,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4
12-20,Female,Less than 6 months,User_385,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time",Playlists,5
20-35,Female,More than 2 years,User_386,Smartphone,Free (ad-supported),No,None,,Indie,Afternoon,Relaxation and stress relief,Office hours,Playlists,3
20-35,Female,More than 2 years,User_387,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,,Rock,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio, Others",5
20-35,Female,Less than 6 months,User_388,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Reggae,Night,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session, leisure time",Playlists,3
20-35,Female,More than 2 years,User_389,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,,Electronic,Night,Relaxation and stress relief,"While Traveling, leisure time",Others,1
20-35,Female,More than 2 years,User_390,Wearable devices,Free (ad-supported),No,Student Plan-Rs 59/month,,Pop,Night,Uplifting and motivational,While Traveling,Playlists,4
20-35,Female,More than 2 years,User_391,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Hip-hop,Morning,Uplifting and motivational,leisure time,"recommendations, Playlists",3
20-35,Female,More than 2 years,User_392,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,Relaxation and stress relief,While Traveling,recommendations,1
20-35,Female,1 year to 2 years,User_393,Smartphone,Free (ad-supported),No,None,,R&B,Night,Social gatherings or parties,Workout session,Others,2
20-35,Female,1 year to 2 years,User_394,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others",4
20-35,Female,More than 2 years,User_395,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Folk,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time",Others,4
20-35,Female,Less than 6 months,User_396,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists, Others",4
12-20,Female,More than 2 years,User_397,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Rock,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists, Others",3
20-35,Female,Less than 6 months,User_398,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,5
20-35,Female,Less than 6 months,User_399,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Electronic,Night,Sadness or melancholy,"Office hours, While Traveling",Others,4
20-35,Male,More than 2 years,User_400,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,,Pop,Night,"Uplifting and motivational, Social gatherings or parties",leisure time,"recommendations, Playlists",4
20-35,Female,1 year to 2 years,User_401,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists",5
20-35,Female,More than 2 years,User_402,Smartphone,Free (ad-supported),No,None,,Country,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,recommendations,3
20-35,Male,1 year to 2 years,User_403,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,R&B,Afternoon,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Female,1 year to 2 years,User_404,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists, Others",4
20-35,Female,Less than 6 months,User_405,Smartphone,Free (ad-supported),No,None,,Folk,Afternoon,Relaxation and stress relief,While Traveling,Playlists,3
20-35,Male,Less than 6 months,User_406,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Individual Plan- Rs 119/ month,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",leisure time,recommendations,3
20-35,Female,Less than 6 months,User_407,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,,Rock,Afternoon,Uplifting and motivational,While Traveling,"recommendations, Playlists",4
20-35,Female,More than 2 years,User_408,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Reggae,Afternoon,Relaxation and stress relief,"Office hours, leisure time",Radio,3
20-35,Female,1 year to 2 years,User_409,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Electronic,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4
20-35,Male,More than 2 years,User_410,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4
12-20,Female,1 year to 2 years,User_411,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Hip-hop,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,3
12-20,Female,6 months to 1 year,User_412,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Morning,Relaxation and stress relief,While Traveling,recommendations,5
20-35,Female,More than 2 years,User_413,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,R&B,Night,Social gatherings or parties,leisure time,recommendations,4
20-35,Female,Less than 6 months,User_414,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,,Jazz,Night,Relaxation and stress relief,While Traveling,Playlists,4
20-35,Female,6 months to 1 year,User_415,Smartphone,Free (ad-supported),No,None,,Folk,Afternoon,Uplifting and motivational,Workout session,Playlists,5
35-60,Male,6 months to 1 year,User_416,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Indie,Night,Relaxation and stress relief,While Traveling,Radio,5
20-35,Female,6 months to 1 year,User_417,Smartphone,Free (ad-supported),No,None,,Rock,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",recommendations,3
20-35,Female,Less than 6 months,User_418,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Reggae,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4
20-35,Female,6 months to 1 year,User_419,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4
20-35,Female,6 months to 1 year,User_420,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,Less than 6 months,User_421,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Night,Sadness or melancholy,While Traveling,recommendations,3
20-35,Female,Less than 6 months,User_422,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Country,Night,Relaxation and stress relief,leisure time,recommendations,1
20-35,Female,6 months to 1 year,User_423,Smartphone,Free (ad-supported),No,None,,R&B,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",3
20-35,Female,Less than 6 months,User_424,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Jazz,Night,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Male,More than 2 years,User_425,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Folk,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Radio, Others",5
20-35,Female,More than 2 years,User_426,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Indie,Night,Relaxation and stress relief,"Workout session, leisure time",Playlists,4
20-35,Female,More than 2 years,User_427,Computer or laptop,Free (ad-supported),No,Student Plan-Rs 59/month,,Rock,Night,Sadness or melancholy,"Workout session, leisure time",Others,4
20-35,Female,6 months to 1 year,User_428,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Reggae,Night,Relaxation and stress relief,While Traveling,recommendations,5
12-20,Female,1 year to 2 years,User_429,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,,Electronic,Night,Relaxation and stress relief,"Study Hours, Workout session, leisure time","recommendations, Playlists",5
20-35,Male,1 year to 2 years,User_430,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4
20-35,Female,More than 2 years,User_431,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Night,Sadness or melancholy,While Traveling,"Others, Search",4
20-35,Female,More than 2 years,User_432,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,,Country,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",5
20-35,Female,More than 2 years,User_433,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,R&B,Morning,Relaxation and stress relief,Study Hours,Playlists,3
20-35,Female,1 year to 2 years,User_434,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4
20-35,Female,Less than 6 months,User_435,Smartphone,Free (ad-supported),No,None,,Folk,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3
20-35,Female,6 months to 1 year,User_436,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Indie,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Others",3
20-35,Female,Less than 6 months,User_437,Smartphone,Free (ad-supported),No,None,,Rock,Night,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Female,Less than 6 months,User_438,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Reggae,Night,Relaxation and stress relief,leisure time,recommendations,3
20-35,Male,1 year to 2 years,User_439,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,,Electronic,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,2
20-35,Female,Less than 6 months,User_440,Smartphone,Free (ad-supported),No,None,,Pop,Morning,Relaxation and stress relief,leisure time,"recommendations, Playlists",3
20-35,Female,1 year to 2 years,User_441,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,,Hip-hop,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, ",recommendations,4
20-35,Male,Less than 6 months,User_442,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4
20-35,Female,More than 2 years,User_443,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,,R&B,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3
20-35,Female,More than 2 years,User_444,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Jazz,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4
20-35,Female,More than 2 years,User_445,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Folk,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,More than 2 years,User_446,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time",recommendations,4
20-35,Female,6 months to 1 year,User_447,Smartphone,Free (ad-supported),No,None,,Rock,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,Playlists,4
20-35,Female,1 year to 2 years,User_448,Smartphone,Free (ad-supported),No,None,,Reggae,Night,Relaxation and stress relief,leisure time,Playlists,4
20-35,Female,6 months to 1 year,User_449,Smartphone,Free (ad-supported),No,None,,Electronic,Night,Relaxation and stress relief,"Office hours, leisure time",Playlists,3
20-35,Male,1 year to 2 years,User_450,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,3
20-35,Female,More than 2 years,User_451,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Hip-hop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4
20-35,Female,Less than 6 months,User_452,"Smartphone, Computer or laptop",Free (ad-supported),No,None,,Country,Afternoon,Relaxation and stress relief,leisure time,Others,3
20-35,Female,More than 2 years,User_453,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,5
20-35,Female,6 months to 1 year,User_454,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,,Jazz,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Others",5
20-35,Female,More than 2 years,User_455,Smartphone,Free (ad-supported),No,None,,Folk,Night,Relaxation and stress relief,leisure time,Others,3
20-35,Female,More than 2 years,User_456,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,,Indie,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5
20-35,Female,More than 2 years,User_457,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Rock,Night,Relaxation and stress relief,leisure time,Playlists,4
20-35,Female,More than 2 years,User_458,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Reggae,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4
20-35,Female,More than 2 years,User_459,Smartphone,Free (ad-supported),No,None,,Electronic,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",4
20-35,Male,More than 2 years,User_460,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",Playlists,4
20-35,Male,More than 2 years,User_461,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,,Hip-hop,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Others,4
20-35,Female,More than 2 years,User_462,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,4
20-35,Female,1 year to 2 years,User_463,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4
20-35,Female,1 year to 2 years,User_464,Smartphone,Free (ad-supported),No,None,,Jazz,Morning,Relaxation and stress relief,leisure time,recommendations,3
12-20,Others,1 year to 2 years,User_465,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Folk,Night,Sadness or melancholy,leisure time,Others,2
12-20,Female,1 year to 2 years,User_466,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,,Indie,Morning,Relaxation and stress relief,Study Hours,Playlists,2
12-20,Female,6 months to 1 year,User_467,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Rock,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,2
12-20,Female,6 months to 1 year,User_468,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,,Reggae,Afternoon,Sadness or melancholy,While Traveling,Radio,2
20-35,Female,1 year to 2 years,User_469,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Electronic,Afternoon,Uplifting and motivational,While Traveling,Radio,4
20-35,Female,1 year to 2 years,User_470,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Pop,Afternoon,Sadness or melancholy,While Traveling,Radio,2
20-35,Others,1 year to 2 years,User_471,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Hip-hop,Afternoon,Sadness or melancholy,While Traveling,Radio,2
20-35,Female,More than 2 years,User_472,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Country,Afternoon,Sadness or melancholy,While Traveling,Radio,3
20-35,Female,6 months to 1 year,User_473,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,,R&B,Morning,Uplifting and motivational,While Traveling,Radio,2
35-60,Female,6 months to 1 year,User_474,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Jazz,Afternoon,Sadness or melancholy,While Traveling,Others,3
35-60,Female,6 months to 1 year,User_475,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Folk,Afternoon,Sadness or melancholy,"Study Hours, Workout session","Playlists, Radio",3
20-35,Others,6 months to 1 year,User_476,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Indie,Night,Uplifting and motivational,Study Hours,Playlists,3
20-35,Female,1 year to 2 years,User_477,Wearable devices,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Rock,Afternoon,Sadness or melancholy,Workout session,Radio,3
12-20,Female,6 months to 1 year,User_478,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Reggae,Afternoon,Sadness or melancholy,Workout session,Radio,3
35-60,Female,6 months to 1 year,User_479,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,,Electronic,Morning,Uplifting and motivational,Workout session,Radio,4
20-35,Female,Less than 6 months,User_480,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,,Pop,Afternoon,Uplifting and motivational,Workout session,Others,2
20-35,Female,6 months to 1 year,User_481,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Hip-hop,Morning,Uplifting and motivational,"Study Hours, leisure time","Playlists, Radio, Others",3
20-35,Male,6 months to 1 year,User_482,Computer or laptop,Premium (paid subscription),No,Family Plan-Rs 179/month,,Country,Afternoon,Uplifting and motivational,While Traveling,Radio,3
20-35,Female,1 year to 2 years,User_483,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Family Plan-Rs 179/month,,R&B,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,3
12-20,Male,6 months to 1 year,User_484,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Jazz,Afternoon,Sadness or melancholy,Workout session,"Radio, Others",3
20-35,Others,6 months to 1 year,User_485,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Folk,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","recommendations, Radio, Others",3
20-35,Female,1 year to 2 years,User_486,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Indie,Night,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, leisure time",Radio,3
12-20,Female,1 year to 2 years,User_487,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Duo plan- Rs 149/month,,Rock,Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio, Others",2
12-20,Female,1 year to 2 years,User_488,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Reggae,Night,Sadness or melancholy,Study Hours,Radio,3
12-20,Female,1 year to 2 years,User_489,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Electronic,Afternoon,Uplifting and motivational,Workout session,Radio,3
20-35,Male,6 months to 1 year,User_490,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Pop,Afternoon,Relaxation and stress relief,While Traveling,"Playlists, Radio",2
20-35,Female,1 year to 2 years,User_491,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,,Hip-hop,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations, Radio, Others",4
20-35,Female,1 year to 2 years,User_492,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,,Country,Afternoon,Sadness or melancholy,leisure time,Others,3
6-12,Others,More than 2 years,User_493,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,,R&B,Morning,Social gatherings or parties,Study Hours,Radio,3
12-20,Male,More than 2 years,User_494,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,,Jazz,Afternoon,"Uplifting and motivational, Social gatherings or parties",While Traveling,Playlists,4
6-12,Others,1 year to 2 years,User_495,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,,Folk,Afternoon,Uplifting and motivational,Workout session,Playlists,4
20-35,Female,1 year to 2 years,User_496,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Indie,Afternoon,Sadness or melancholy,leisure time,Playlists,4
20-35,Male,6 months to 1 year,User_497,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,Rock,Afternoon,Uplifting and motivational,Study Hours,recommendations,3
20-35,Male,1 year to 2 years,User_498,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Reggae,Afternoon,Sadness or melancholy,While Traveling,Radio,4
20-35,Female,6 months to 1 year,User_499,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,,Electronic,Afternoon,Sadness or melancholy,"Study Hours, Workout session",Radio,3
20-35,Female,6 months to 1 year,User_500,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,,Pop,Afternoon,Social gatherings or parties,While Traveling,Playlists,3
20-35,Female,6 months to 1 year,User_501,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Hip-hop,Afternoon,Uplifting and motivational,"Office hours, While Traveling","recommendations, Playlists, Others",4
12-20,Male,6 months to 1 year,User_502,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Country,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Radio,3
12-20,Female,6 months to 1 year,User_503,Computer or laptop,Premium (paid subscription),No,None,,R&B,Afternoon,Sadness or melancholy,While Traveling,Others,3
12-20,Others,1 year to 2 years,User_504,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,,Jazz,Afternoon,Uplifting and motivational,Study Hours,Radio,3
12-20,Male,More than 2 years,User_505,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Folk,Afternoon,Relaxation and stress relief,Study Hours,Playlists,3
20-35,Female,1 year to 2 years,User_506,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Indie,Morning,Uplifting and motivational,"Office hours, While Traveling","recommendations, Radio",3
20-35,Male,Less than 6 months,User_507,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Rock,Morning,Uplifting and motivational,Workout session,Playlists,4
20-35,Female,Less than 6 months,User_508,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,,Reggae,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling","Playlists, Radio",3
12-20,Female,6 months to 1 year,User_509,Wearable devices,Premium (paid subscription),Yes,Duo plan- Rs 149/month,,Electronic,Morning,Relaxation and stress relief,While Traveling,Playlists,2
20-35,Female,More than 2 years,User_510,Smartphone,Free (ad-supported),No,None,,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, leisure time","recommendations, Others",4
20-35,Male,More than 2 years,User_511,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,Hip-hop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Study Hours,"recommendations, Playlists",5
20-35,Female,More than 2 years,User_512,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,Relaxation and stress relief,Office hours,recommendations,4
20-35,Female,More than 2 years,User_513,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session","recommendations, Others",4
